"","X","Chiang.Mai","Chiang.Rai","Lampang","Lamphun","Mae.Hong.Son","Nan","Phayao","Phrae","Phetchabun","Phitsanulok","Sukhothai","Tak","Uttaradit","Kamphaeng.Phet","Nakhon.Sawan","Phichit","Uthai.Thani","Bangkok","Ang.Thong","Nonthaburi","P.Nakhon.S.Ayutthaya","Pathum.Thani","Chai.Nat","Lop.Buri","Saraburi","Sing.Buri","Kanchanaburi","Nakhon.Pathom","Ratchaburi","Suphan.Buri","Phetchaburi","Prachuap.Khiri.Khan","Samut.Sakhon","Samut.Songkhram","Chachoengsao","Nakhon.Nayok","Prachin.Buri","Sa.Kaeo","Samut.Prakan","Chanthaburi","Chon.Buri","Rayong","Trat","Loei","Nong.Bua.Lam.Phu","Nong.Khai","Udon.Thani","Kalasin","Mukdahan","Nakhon.Phanom","Sakon.Nakhon","Khon.Kaen","Maha.Sarakham","Roi.Et","Buri.Ram","Chaiyaphum","Nakhon.Ratchasima","Surin","Amnat.Charoen","Si.Sa.Ket","Ubon.Ratchathani","Yasothon","Chumphon","Ranong","Surat.Thani","Nakhon.Si.Thammarat","Phatthalung","Trang","Krabi","Phangnga","Phuket","Narathiwat","Pattani","Yala","Satun","Songkhla","Bungkan"
"124",124,37,17,12,7,10,13,3,2,9,17,2,5,2,17,10,14,0,111,2,7,11,15,8,1,4,0,1,9,5,7,11,8,5,5,11,1,11,9,15,18,26,27,2,12,1,3,4,5,13,12,10,4,9,15,14,5,28,39,2,5,12,26,19,20,79,138,42,5,9,25,15,12,10,9,2,63,0
"125",125,114,50,34,17,33,67,13,5,17,38,2,50,27,13,9,25,2,155,7,20,15,11,3,4,8,1,4,18,7,25,32,14,20,0,13,7,20,32,14,28,39,39,6,40,13,11,14,25,19,12,35,16,14,26,21,13,104,101,4,20,55,21,43,25,74,201,39,9,12,39,39,22,15,8,5,77,0
"126",126,232,271,40,16,61,63,11,6,39,65,18,175,30,66,41,56,9,331,12,47,21,17,19,7,21,2,12,37,22,31,84,30,41,3,35,4,62,90,33,41,76,39,13,42,11,20,27,125,64,16,26,38,45,115,47,80,193,241,34,106,106,27,29,25,117,197,43,17,21,59,53,24,21,13,3,97,0
"127",127,413,328,66,50,66,58,13,9,67,72,26,213,47,116,67,84,14,630,31,38,44,18,24,16,42,2,18,60,47,61,177,27,51,8,48,3,83,66,77,48,96,55,8,50,20,22,36,112,42,21,21,45,48,89,36,53,227,216,29,105,138,25,29,12,63,187,34,13,28,51,28,19,19,4,1,57,1
"128",128,256,316,36,56,80,33,5,5,39,74,43,192,52,52,94,68,13,704,27,58,33,19,22,46,46,1,15,85,66,42,120,39,74,17,53,3,88,86,64,47,36,47,10,39,13,18,22,87,21,15,27,43,39,74,39,44,224,139,2,101,81,17,25,11,81,187,17,13,28,39,22,20,8,4,2,48,0
"129",129,131,238,24,12,47,17,8,5,23,43,24,104,22,63,46,47,12,520,27,61,25,23,18,32,11,0,4,81,65,33,80,11,76,28,68,5,32,23,41,29,33,22,6,27,6,9,13,31,11,5,3,25,30,29,28,24,93,64,5,62,55,9,28,11,75,154,0,11,17,29,17,27,11,7,4,38,1
"130",130,117,158,14,12,31,18,6,0,9,19,12,72,11,25,30,30,13,563,16,65,15,19,4,21,3,0,4,79,49,29,36,12,54,17,29,0,20,10,42,17,44,13,7,17,3,8,2,27,6,4,2,10,13,11,21,11,49,30,1,43,29,6,30,7,64,187,0,12,10,36,15,15,11,15,5,39,0
"131",131,74,137,10,11,26,14,0,0,10,23,13,44,3,12,41,29,6,737,14,83,11,25,11,10,4,0,10,72,55,27,46,13,70,20,24,0,18,6,45,8,48,32,4,6,2,5,4,5,4,2,1,7,13,4,8,10,36,10,0,30,7,0,40,13,70,199,0,7,21,44,26,18,10,14,5,45,0
"132",132,53,57,8,4,16,2,2,0,7,14,3,31,3,6,20,24,11,448,8,47,7,14,4,5,0,0,3,59,55,26,24,16,82,16,27,1,10,0,28,4,42,43,4,4,1,6,1,1,0,1,0,3,7,3,2,0,14,5,0,15,5,2,13,6,70,149,0,9,14,36,48,16,5,17,3,52,0
"133",133,18,30,2,0,6,6,0,0,5,3,4,14,0,9,17,10,4,252,2,20,9,16,2,12,0,0,8,57,51,27,13,13,49,9,15,1,8,4,32,5,43,24,6,1,0,1,0,1,0,2,0,5,6,3,3,4,20,10,0,11,6,1,15,7,57,125,17,12,10,18,28,25,14,20,2,40,2
"134",134,13,10,0,3,3,0,0,0,5,5,2,11,3,8,16,14,4,222,2,18,7,16,2,11,5,0,9,41,49,9,36,19,42,12,12,4,14,2,30,5,43,9,9,3,2,0,1,1,0,1,2,5,3,4,1,0,15,5,0,8,16,0,19,9,66,135,7,5,9,21,40,14,19,10,6,28,1
"135",135,11,16,0,10,2,7,0,1,10,11,7,16,3,12,32,13,4,306,10,32,16,18,0,9,6,1,10,43,62,16,25,16,67,4,18,6,15,6,44,6,58,37,16,7,2,1,0,3,3,9,2,6,5,5,4,9,26,19,1,21,29,3,9,20,55,123,12,3,18,28,40,11,10,7,8,38,2
"136",136,17,26,11,20,10,8,2,18,8,34,11,20,9,28,59,33,13,241,10,62,7,35,0,5,7,1,26,79,42,22,20,17,58,6,19,18,21,9,44,15,98,45,15,7,5,3,3,3,3,5,7,9,5,12,12,14,40,23,1,20,51,5,11,19,66,93,14,10,16,12,27,7,7,6,1,25,3
"137",137,33,141,33,36,30,66,12,106,28,83,33,73,35,56,142,105,46,209,15,114,28,85,4,42,28,0,41,114,53,35,41,24,64,12,84,25,41,18,89,16,188,114,31,26,27,19,29,35,35,20,15,65,47,111,65,60,158,145,9,90,283,22,22,28,160,201,24,14,51,28,38,10,9,9,4,55,39
"138",138,104,415,64,35,147,103,31,130,68,175,95,139,38,135,363,223,101,412,18,213,63,148,9,121,51,3,84,222,144,71,56,22,64,19,237,46,74,69,102,49,287,136,56,72,54,33,84,100,54,21,43,132,112,233,129,135,455,280,36,284,404,54,17,37,212,249,48,17,88,16,39,13,11,12,16,91,75
"139",139,237,619,61,33,113,97,15,54,56,212,93,194,53,153,310,164,86,659,21,185,109,129,16,151,55,8,59,247,160,76,53,29,85,23,227,168,77,50,101,50,312,119,71,86,18,27,31,132,46,14,30,140,91,169,160,114,328,376,19,341,332,62,57,10,119,320,27,43,68,33,53,15,17,32,8,116,30
"140",140,255,567,45,21,61,45,22,13,43,167,83,100,42,118,295,91,30,690,12,154,84,158,11,145,48,3,88,251,133,67,62,30,100,33,228,139,63,58,102,37,210,151,34,56,11,10,22,88,38,4,24,144,45,159,155,79,358,269,23,242,159,50,30,13,89,370,30,29,47,35,30,51,18,43,6,141,18
"141",141,178,338,22,20,26,10,5,6,17,118,57,75,20,67,306,80,15,538,20,102,68,75,7,164,47,4,19,206,114,83,65,13,118,28,113,76,36,36,67,27,157,70,53,20,11,10,16,52,13,3,8,120,23,81,126,56,309,237,16,240,75,19,19,9,58,315,33,22,51,49,23,29,37,35,2,106,23
"142",142,117,249,11,4,24,5,6,4,12,60,40,50,14,38,268,47,31,435,16,92,50,84,12,114,33,10,23,246,134,100,55,13,109,9,48,25,28,16,50,22,78,95,38,18,6,8,11,33,2,3,4,67,18,24,87,44,324,110,11,106,37,5,13,4,56,295,35,21,27,23,18,80,38,54,7,156,4
"143",143,73,133,3,16,26,2,6,4,4,38,23,48,9,39,211,25,30,419,15,110,61,91,29,71,26,4,26,255,135,74,55,15,122,8,80,6,23,9,92,39,190,105,36,12,5,7,13,14,1,4,2,82,15,30,71,40,229,44,1,101,36,4,24,7,53,316,70,22,23,15,49,78,62,52,2,218,7
"144",144,55,77,6,7,18,1,1,2,4,12,29,31,5,49,153,16,17,296,6,84,31,40,14,61,12,9,18,228,99,53,39,19,156,8,51,5,20,8,87,28,152,74,21,10,4,8,9,21,2,2,5,69,18,33,63,29,153,31,0,70,43,4,9,8,74,299,54,10,20,16,37,22,61,52,2,185,11
