"","X","Chiang.Mai","Chiang.Rai","Lampang","Lamphun","Mae.Hong.Son","Nan","Phayao","Phrae","Phetchabun","Phitsanulok","Sukhothai","Tak","Uttaradit","Kamphaeng.Phet","Nakhon.Sawan","Phichit","Uthai.Thani","Bangkok","Ang.Thong","Nonthaburi","P.Nakhon.S.Ayutthaya","Pathum.Thani","Chai.Nat","Lop.Buri","Saraburi","Sing.Buri","Kanchanaburi","Nakhon.Pathom","Ratchaburi","Suphan.Buri","Phetchaburi","Prachuap.Khiri.Khan","Samut.Sakhon","Samut.Songkhram","Chachoengsao","Nakhon.Nayok","Prachin.Buri","Sa.Kaeo","Samut.Prakan","Chanthaburi","Chon.Buri","Rayong","Trat","Loei","Nong.Bua.Lam.Phu","Nong.Khai","Udon.Thani","Kalasin","Mukdahan","Nakhon.Phanom","Sakon.Nakhon","Khon.Kaen","Maha.Sarakham","Roi.Et","Buri.Ram","Chaiyaphum","Nakhon.Ratchasima","Surin","Amnat.Charoen","Si.Sa.Ket","Ubon.Ratchathani","Yasothon","Chumphon","Ranong","Surat.Thani","Nakhon.Si.Thammarat","Phatthalung","Trang","Krabi","Phangnga","Phuket","Narathiwat","Pattani","Yala","Satun","Songkhla","Bungkan"
"65",65,48,29,5,2,1,6,6,46,47,51,11,18,8,33,35,23,21,71,7,11,5,9,11,29,8,2,35,12,51,5,40,22,35,8,28,12,70,29,20,97,24,82,34,82,28,3,6,0,12,21,6,67,30,40,48,55,124,85,12,72,34,4,52,15,56,27,43,28,83,33,26,13,7,15,32,92,14
"66",66,105,99,36,6,16,34,16,145,61,131,22,39,49,55,112,26,52,123,17,18,5,11,11,44,19,2,65,35,110,4,108,24,44,18,61,22,80,67,36,169,30,150,38,137,29,19,11,0,35,28,6,127,72,88,162,105,214,192,17,149,44,25,58,12,107,53,50,11,78,50,21,11,8,9,21,93,15
"67",67,169,115,41,9,19,40,27,133,45,121,41,109,49,112,118,32,33,277,13,27,10,27,21,108,42,1,64,72,157,27,99,34,60,18,105,6,112,60,31,152,55,196,31,101,28,1,25,0,27,18,7,136,114,102,168,109,237,297,38,172,48,32,119,20,134,43,34,25,69,73,12,5,10,14,23,99,19
"68",68,225,135,38,7,11,31,11,94,48,129,44,67,66,77,146,83,25,386,23,59,18,53,9,181,42,0,65,59,123,19,57,30,61,29,110,3,113,61,42,100,86,191,30,42,15,7,23,0,17,19,5,97,109,94,127,68,182,242,22,138,35,15,111,6,145,79,25,18,56,28,7,16,14,18,19,80,14
"69",69,230,91,11,25,8,14,3,29,29,90,33,47,36,80,139,48,28,394,31,75,23,52,19,182,37,0,108,58,132,4,35,17,70,12,100,10,92,77,37,46,94,120,35,43,7,8,17,0,11,22,4,125,148,124,180,50,108,285,16,144,52,22,65,5,97,92,30,4,47,5,5,5,6,22,14,74,7
"70",70,270,112,9,15,14,12,6,31,15,68,28,52,18,71,171,46,16,602,18,69,31,41,17,111,35,0,73,69,111,54,31,27,87,28,95,8,59,35,41,27,71,67,22,42,6,3,16,0,14,8,3,100,141,107,132,16,169,255,7,130,46,21,56,2,111,142,47,13,50,8,4,18,17,39,24,144,9
"71",71,155,103,20,90,10,9,14,8,17,76,19,61,15,49,167,33,19,811,17,75,29,68,41,39,39,0,50,69,116,43,35,13,112,11,53,2,24,32,88,44,95,103,7,32,10,5,27,0,10,33,26,103,111,95,86,28,213,86,5,86,51,11,43,6,153,188,141,9,59,12,14,36,17,41,33,279,8
"72",72,101,89,17,38,3,3,6,0,17,30,7,35,20,19,106,15,12,569,11,59,16,49,33,0,10,1,27,60,53,42,20,12,80,19,17,5,12,16,73,20,59,105,8,46,9,9,7,0,14,40,9,99,69,72,59,21,122,21,5,64,34,20,69,7,107,183,160,19,51,42,5,27,26,36,15,206,8
"73",73,106,98,21,29,2,4,13,7,5,39,13,22,14,21,71,23,15,575,16,49,27,35,18,6,18,1,32,42,65,29,25,22,75,20,15,8,22,15,88,44,39,85,15,47,12,5,14,0,10,19,19,80,58,44,56,13,139,127,3,72,25,13,45,11,183,259,103,30,88,24,8,32,21,36,27,264,5
"74",74,67,26,19,16,10,13,5,4,25,39,13,34,13,28,68,21,11,282,10,38,25,30,28,29,9,0,19,44,65,38,18,9,48,16,16,19,19,6,62,21,43,77,15,63,20,10,4,0,12,20,19,35,46,49,56,21,85,138,7,85,35,14,60,7,118,194,40,13,70,21,19,28,25,22,8,172,4
"75",75,142,49,20,31,11,14,4,28,26,34,25,43,23,32,85,23,24,292,8,53,24,16,21,35,35,0,24,24,44,37,31,24,36,22,8,19,22,19,61,31,40,54,48,127,37,3,8,0,29,46,67,64,72,65,80,44,146,175,7,132,80,11,61,10,131,143,61,10,75,37,75,35,35,29,14,215,17
"76",76,455,136,53,78,32,27,6,34,50,63,59,60,24,31,60,28,16,210,7,29,12,18,9,10,15,0,17,40,34,18,31,19,19,17,11,27,30,27,64,60,46,59,58,180,48,14,7,0,72,165,66,60,45,100,64,56,155,178,23,188,69,22,61,22,134,140,52,22,60,97,176,19,23,43,15,198,50
"77",77,978,722,225,86,152,50,43,92,277,88,66,106,27,51,46,28,14,271,9,37,8,35,14,25,33,0,9,13,31,5,39,28,20,8,20,53,61,39,70,93,49,81,56,336,71,60,28,0,127,330,65,118,98,238,71,75,294,241,74,429,246,65,98,30,146,263,74,48,99,128,230,18,24,52,37,295,118
"78",78,2592,1970,726,148,333,140,155,148,504,145,57,225,77,148,127,59,30,346,17,37,9,42,34,46,38,6,18,15,35,15,62,29,26,10,43,34,127,52,48,148,90,127,131,469,97,109,96,1,168,359,196,222,275,473,171,154,617,479,92,802,422,107,122,38,196,326,143,71,128,125,300,47,28,49,39,406,167
"79",79,2466,3272,738,273,398,259,222,139,315,174,74,207,90,181,155,85,41,740,16,74,25,72,53,89,78,3,29,52,117,19,64,44,51,15,66,37,146,72,41,140,51,142,91,424,72,273,181,355,120,188,87,352,388,529,155,127,645,591,94,742,440,84,161,29,133,185,133,37,94,85,198,96,36,27,47,270,153
"80",80,1155,2738,439,147,275,131,142,92,24,110,34,103,51,81,112,61,36,949,22,97,22,63,11,83,129,5,40,77,131,25,70,26,60,26,47,41,106,67,107,110,76,95,43,171,56,140,121,207,78,72,17,465,402,416,147,95,389,480,47,409,298,86,84,29,123,167,84,52,39,50,159,84,45,30,20,148,86
"81",81,505,1197,210,72,112,50,59,52,2,73,27,73,25,39,73,22,19,713,16,77,20,45,4,66,54,0,10,64,111,34,48,12,42,20,32,18,59,35,86,78,90,84,24,55,8,40,32,88,20,19,4,208,198,172,94,52,235,263,22,210,114,44,68,10,90,103,54,21,0,18,110,60,32,16,10,40,10
"82",82,147,385,67,32,63,16,13,14,7,35,13,29,12,27,39,13,8,708,12,66,22,45,8,47,48,1,6,42,98,30,53,12,40,23,21,7,19,24,72,54,44,63,9,34,1,11,7,38,12,13,3,57,81,62,26,22,116,89,8,86,48,16,33,7,50,61,52,19,0,10,62,48,41,13,14,18,1
"83",83,73,124,26,4,60,10,2,16,2,24,7,29,10,23,33,14,14,660,4,66,16,54,3,51,43,2,2,39,80,32,32,6,66,17,13,1,9,9,65,39,26,59,9,15,0,0,5,16,4,4,0,16,33,13,13,15,57,26,0,39,13,5,36,11,27,70,67,19,0,12,53,45,57,12,7,10,0
"84",84,27,37,3,1,25,1,2,0,0,9,6,7,3,8,12,6,0,328,6,31,16,11,2,11,6,0,2,23,37,5,16,9,26,6,3,1,0,6,36,13,20,30,5,6,0,0,1,1,0,0,0,0,10,3,3,4,16,0,1,11,7,1,23,4,35,29,47,11,1,7,45,26,35,19,7,0,0
"85",85,8,15,2,0,2,1,0,2,1,3,6,5,0,5,5,12,3,200,3,26,9,15,1,9,10,0,2,24,19,3,16,1,18,1,7,1,7,1,28,6,16,18,2,2,0,1,1,4,1,0,0,4,9,2,4,3,15,4,0,4,5,0,16,4,26,63,36,8,14,5,52,34,38,8,10,0,1
"86",86,6,4,1,1,2,0,0,2,2,6,9,7,0,4,14,13,5,156,4,14,10,9,1,18,10,0,10,27,31,5,22,5,12,1,3,0,7,1,40,6,12,28,6,4,5,3,6,9,1,0,0,12,27,7,16,3,16,10,1,12,2,0,24,2,13,44,42,2,10,5,14,19,14,10,8,0,1
"87",87,2,4,1,0,3,0,0,2,2,6,10,17,5,13,29,19,4,120,9,13,8,13,0,21,22,4,7,34,31,13,35,12,10,3,5,4,18,5,39,22,24,33,2,3,8,3,0,16,2,9,0,15,17,9,10,5,13,21,4,25,7,3,25,9,22,56,29,2,16,12,7,3,8,11,10,4,2
"88",88,5,3,2,2,13,25,0,3,3,1,3,11,5,12,13,9,2,86,2,5,4,11,0,23,14,0,15,17,20,3,17,8,8,8,2,4,14,8,19,23,14,16,6,5,3,2,2,10,5,3,2,3,3,6,11,10,7,13,0,12,6,4,17,7,15,35,26,4,15,11,8,6,7,12,13,22,6
"89",89,14,23,16,0,40,86,5,17,1,6,15,21,10,22,23,9,5,77,9,9,6,4,3,41,18,0,6,12,14,13,16,13,10,16,7,5,23,12,12,49,11,31,22,7,3,6,2,24,12,7,3,11,14,13,12,30,37,54,4,29,35,3,20,26,25,91,16,11,50,19,9,13,18,24,8,23,25
"90",90,62,41,25,3,65,143,13,42,8,5,22,54,7,136,53,34,5,110,6,7,11,4,3,52,21,3,7,14,31,20,27,12,16,5,11,3,30,22,20,82,22,32,35,9,4,63,3,26,8,17,9,27,26,34,31,74,57,31,7,72,61,18,56,33,73,157,69,14,79,17,18,15,48,52,17,39,49
"91",91,121,50,22,6,124,72,15,77,14,14,35,54,14,176,77,62,25,157,19,7,10,14,11,33,57,0,7,17,94,20,30,24,21,11,12,4,62,39,25,123,24,31,11,9,15,61,5,38,7,30,8,47,35,60,26,79,51,65,30,75,54,40,69,11,115,319,39,12,67,14,52,44,85,54,18,87,10
"92",92,153,28,10,3,98,47,13,58,14,18,17,73,28,91,59,44,9,189,4,8,12,21,3,66,43,0,4,46,125,21,35,19,37,11,21,11,53,24,25,128,24,32,16,22,13,25,4,55,12,14,14,50,38,84,42,58,60,99,18,59,62,27,44,8,86,346,50,1,37,2,48,75,73,40,10,36,12
